parc,type,modele,immat,km,tauxsante,statut,annee,boite,moteur,portes,girouette,clim,pmr,ct
240,TCP - Autobus articulé,HEULIEZ GX 427,CN-555-WP,0,100,Actif,2012,Automatique,Diesel,3,Oui,Oui,Oui,
241,TCP - Autobus articulé,HEULIEZ GX 427,CN-777-WP,0,100,Actif,2012,Automatique,Diesel,3,Oui,Oui,Oui,
242,TCP - Autobus articulé,HEULIEZ GX 427,CN-997-WP,0,100,Actif,2012,Automatique,Diesel,3,Oui,Oui,Oui,
243,TCP - Autobus articulé,HEULIEZ GX 427,CN-338-WQ,0,100,Actif,2012,Automatique,Diesel,3,Oui,Oui,Oui,
244,TCP - Autobus articulé BHNS,HEULIEZ GX 427 BHNS,DB-470-PR,0,100,Actif,2013,Automatique,Diesel,3,Oui,Oui,Oui,
245,TCP - Autobus articulé,HEULIEZ GX 427,DB-924-PT,0,100,Actif,2013,Automatique,Diesel,3,Oui,Oui,Oui,
246,TCP - Autobus articulé,HEULIEZ GX 427,DB-021-PV,0,100,Actif,2013,Automatique,Diesel,3,Oui,Oui,Oui,
247,TCP - Autobus articulé,HEULIEZ GX 427,DB-812-PT,0,100,Actif,2013,Automatique,Diesel,3,Oui,Oui,Oui,
248,TCP - Autobus articulé,HEULIEZ GX 427,DB-204-PV,0,100,Actif,2013,Automatique,Diesel,3,Oui,Oui,Oui,
249,TCP - Autobus articulé,HEULIEZ GX 427,DB-898-PS,0,100,Actif,2013,Automatique,Diesel,3,Oui,Oui,Oui,
250,TCP - Autobus articulé,HEULIEZ GX 437,EC-458-YK,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
251,TCP - Autobus articulé,HEULIEZ GX 437,EC-493-YK,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
252,TCP - Autobus articulé,HEULIEZ GX 437,ED-397-MJ,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
253,TCP - Autobus articulé,HEULIEZ GX 437,ED-516-MJ,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
254,TCP - Autobus articulé,HEULIEZ GX 437,ED-640-MJ,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
255,TCP - Autobus articulé,HEULIEZ GX 437,ED-880-MJ,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
256,TCP - Autobus articulé,HEULIEZ GX 437,ED-201-MJ,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
257,TCP - Autobus articulé,MAN LION'S CITY A,EH-803-GW,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
258,TCP - Autobus articulé,MAN LION'S CITY A,EH-999-GW,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
259,TCP - Autobus articulé,MAN LION'S CITY A,EH-558-GZ,0,100,Actif,2016,Automatique,Diesel,3,Oui,Oui,Oui,
260,TCP - Autobus articulé,MERCEDES CITARO A,ER-781-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
261,TCP - Autobus articulé,MERCEDES CITARO A,ER-768-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
262,TCP - Autobus articulé,MERCEDES CITARO A,ER-751-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
263,TCP - Autobus articulé,MERCEDES CITARO A,ER-764-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
264,TCP - Autobus articulé,MERCEDES CITARO A,ER-749-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
265,TCP - Autobus articulé,MERCEDES CITARO A,ER-742-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
266,TCP - Autobus articulé,MERCEDES CITARO A,ER-761-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
267,TCP - Autobus articulé,MERCEDES CITARO A,ER-776-JP,0,100,Actif,2017,Automatique,Diesel,3,Oui,Oui,Oui,
268,TCP - Autobus articulé,MAN LION'S CITY A,FA-117-TZ,0,100,Actif,2018,Automatique,Diesel,3,Oui,Oui,Oui,
269,TCP - Autobus articulé,MAN LION'S CITY A,FA-989-TY,0,100,Actif,2018,Automatique,Diesel,3,Oui,Oui,Oui,
270,TCP - Autobus articulé,MAN LION'S CITY A,FA-055-TZ,0,100,Actif,2018,Automatique,Diesel,3,Oui,Oui,Oui,
271,TCP - Autobus articulé,MAN LION'S CITY A,FA-911-TY,0,100,Actif,2018,Automatique,Diesel,3,Oui,Oui,Oui,
272,TCP - Autobus articulé,MAN LION'S CITY A,FA-844-TY,0,100,Actif,2018,Automatique,Diesel,3,Oui,Oui,Oui,
273,TCP - Autobus articulé,MAN LION'S CITY A,FA-727-TY,0,100,Actif,2018,Automatique,Diesel,3,Oui,Oui,Oui,
274,TCP - Autobus articulé,MAN LION'S CITY A,FF-052-GH,0,100,Actif,2019,Automatique,Diesel,3,Oui,Oui,Oui,
275,TCP - Autobus articulé,MAN LION'S CITY A,FM-570-JW,0,100,Actif,2019,Automatique,Diesel,3,Oui,Oui,Oui,
276,TCP - Autobus articulé,MAN LION'S CITY A,FW-782-DE,0,100,Actif,2020,Automatique,Diesel,3,Oui,Oui,Oui,
277,TCP - Autobus articulé,MAN LION'S CITY A,FW-782-DN,0,100,Actif,2020,Automatique,Diesel,3,Oui,Oui,Oui,
278,TCP - Autobus articulé,MAN LION'S CITY A,FW-906-DN,0,100,Actif,2020,Automatique,Diesel,3,Oui,Oui,Oui,
369,TCP - Autobus Standard,HEULIEZ GX 327,AB-019-SK,0,100,Actif,2009,Automatique,Diesel,2,Oui,Non,Oui,
370,TCP - Autobus Standard BHNS,HEULIEZ GX 327 BHNS,BA-709-EZ,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
371,TCP - Autobus Standard BHNS,HEULIEZ GX 327 BHNS,BA-383-EZ,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
372,TCP - Autobus Standard BHNS,HEULIEZ GX 327 BHNS,BA-484-FA,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
373,TCP - Autobus Standard BHNS,HEULIEZ GX 327 BHNS,BA-109-FA,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
374,TCP - Autobus Standard,HEULIEZ GX 327,CP-851-BW,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
375,TCP - Autobus Standard,HEULIEZ GX 327,CP-594-BX,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
376,TCP - Autobus Standard,HEULIEZ GX 327,CP-938-BX,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
377,TCP - Autobus Standard,HEULIEZ GX 327,CP-784-BX,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
378,TCP - Autobus Standard,HEULIEZ GX 327,CP-342-BY,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
379,TCP - Autobus Standard,HEULIEZ GX 327,CP-087-BY,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
380,TCP - Autobus Standard,HEULIEZ GX 327,CP-453-BY,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
381,TCP - Autobus Standard,HEULIEZ GX 327,CP-546-BY,0,100,Actif,2012,Automatique,Diesel,2,Oui,Non,Oui,
382,TCP - Autobus Standard,HEULIEZ GX 327,CY-633-EK,0,100,Actif,2013,Automatique,Diesel,2,Oui,Non,Oui,
383,TCP - Autobus Standard,HEULIEZ GX 327,DB-322-PV,0,100,Actif,2013,Automatique,Diesel,2,Oui,Non,Oui,
384,TCP - Autobus Standard,HEULIEZ GX 327,DB-532-PV,0,100,Actif,2013,Automatique,Diesel,2,Oui,Non,Oui,
386,TCP - Autobus Standard,HEULIEZ GX 327,DB-593-PT,0,100,Actif,2013,Automatique,Diesel,2,Oui,Non,Oui,
423,TCP - Autobus articulé,MERCEDES CITARO A,CC 062 BJ,0,100,Actif,2007,Automatique,Diesel,3,Oui,Oui,Oui,
424,TCP - Autobus articulé,MAN LION'S CITY A,CT 441 GZ,0,100,Actif,2008,Automatique,Diesel,3,Oui,Oui,Oui,
425,TCP - Autobus articulé,MAN LION'S CITY A,AG-198-XY,0,100,Actif,2008,Automatique,Diesel,3,Oui,Oui,Oui,
